20130316	Zcash	CoinNest	98.2517	112.7686	1328
20130907	BitShares	Koinex	0.0368	0.0433	189
20130727	Viacoin	Binance	1.5307	1.6185	3512
20130517	Mooncoin	KuCoin	0.0033	0.0036	21
20130502	Nxt	Bitbank	0.0241	0.0249	254
20130112	MonaCoin	Gemini	0.5232	0.5735	408
20131110	Metaverse ETP	EXMO	0.3755	0.5532	2202
20130114	SIBCoin	HitBTC	0.81	0.8551	142
20130323	MonetaryUnit	Koinex	0.2473	0.3489	19
20130619	Vertcoin	EXMO	1.1861	1.7128	2662
20130902	Sprouts	KuCoin	0.0056	0.0095	19
20130901	DigiByte	EXMO	0.0091	0.0137	24946
20130915	Nxt	HKSY	0.0235	0.0279	1394
20130810	BitcoinCash	Abucoins	459.0958	488.8549	10722
20131211	Namecoin	Gate.io	0.8839	1.1828	6
20130318	Ark	Huobi	9.3075	13.2372	21685
20130530	NoLimitCoin	Gate.io	0.2703	0.2762	100
20130804	Viacoin	bitFlyer	2.2236	2.7997	247
20130520	CloakCoin	KuCoin	7.1065	10.3417	80
20130410	Diamond	Kraken	30.5129	37.2005	742
20131006	DECENT	C-CEX	0.1824	0.1877	72
20131005	ZenCash	Simex	33.4953	43.3913	31
20130901	Hshare	OKEx	3.722	4.2079	11899
20130306	Steem	GDAX	2.3683	3.1565	11046
20131214	Bitdeal	CoinBene	0.2021	0.2406	148
20130415	OKCash	Bitstamp	0.2062	0.2897	1031
20131028	Peercoin	bitFlyer	4.4905	4.7129	719
20130817	Skycoin	Bitfinex	5.1824	7.2238	629
20130327	Counterparty	Chbtc	15.4148	23.084	130
20130516	Metaverse ETP	CEX.IO	1.7798	1.9951	1484
20131211	ByteballBytes	CoinMate	97.7963	131.1102	4216
20130608	MonaCoin	ANX	0.228	0.2911	111
20130206	FirstCoin	Gatecoin	4.8816	5.9074	6
20130429	Ethereum	StocksExchange	258.5708	403.0279	78140
20130125	Bitdeal	itBit	0.186	0.3158	676
20130525	Decred	ANX	47.6757	56.8489	176
20130921	BitBay	Upbit	0.0132	0.0195	1383
20130509	BitShares	Bitfinex	0.0584	0.0716	11133
20130926	ByteballBytes	Koinex	109.4713	146.1812	1598
20131026	Syscoin	CoinNest	0.0533	0.0729	867
20130210	ION	HitBTC	2.0564	2.2256	252
20130114	DigiByte	Bitstamp	0.0133	0.0153	2164
20130120	StellarLumens	Cobinhood	0.012	0.0131	191
20130515	Siacoin	Binance	0.0033	0.0034	36628
20130605	Clams	Chbtc	8.8931	11.3462	129
20131218	SpreadCoin	Tidex	9.8362	11.8274	19
20130909	ByteballBytes	Koinex	54.5206	59.7685	1638
20130215	Dogecoin	Koinex	0.0035	0.0037	305
20130725	Dogecoin	LakeBTC	0.0013	0.0014	242
20131110	Zcash	Quoine	251.2269	345.4281	27290
20131022	Expanse	Allcoin	3.6891	5.4463	10
20130111	Bitdeal	KuCoin	0.3667	0.4218	76
20130528	GameCredits	Allcoin	2.1097	2.3345	59
20130516	Decred	KuCoin	23.7211	34.8634	184
20130325	BitcoinCash	CoinBene	303.6405	358.6691	13848
20130503	Komodo	LakeBTC	1.3863	1.78	714
20130325	GameCredits	BTCC	1.295	1.5432	23
20130708	Bitcoin	Allcoin	2618.0049	3586.5385	19556
20130820	Vertcoin	KUNA	1.2085	1.4013	95
20130407	Verge	ZB	0.0156	0.0171	1866
20130819	BitShares	StocksExchange	0.0489	0.0576	651
20130825	NoLimitCoin	Bittrex	0.3789	0.3874	799
20130627	Lisk	HitBTC	5.4173	8.3736	15772
20130711	TheChampCoin	CoinBene	0.4776	0.6798	102
20130531	Namecoin	HitBTC	2.3592	3.0376	211
20130727	BitBay	Trade	0.0098	0.0111	183
20130318	Vertcoin	CoinMate	2.7752	3.3489	168
20131106	Sprouts	QuadrigaCX	0.0094	0.0127	53
20130815	Zcash	Elmo	167.1666	262.9679	14241
20130604	Sprouts	KuCoin	0.0105	0.0135	16
20130502	Zcash	Trade	234.5744	282.0507	1390
20130415	DigiByte	itBit	0.0079	0.0095	935
20130201	Ubiq	LakeBTC	0.8183	1.0607	119
20130617	Steem	Bitstamp	0.5814	0.823	8516
20130528	Stratis	Wii	3.3839	4.8465	3973
20130719	Komodo	Kraken	2.8479	2.9973	11784
20130221	Bytecoin	Binance	0.0186	0.0221	45162
20130714	Ethereum Classic	Bitstamp	38.7667	39.0742	19054
20130831	Gulden	CoinMate	0.0405	0.0427	692
20130225	NAVCoin	Trade	0.8926	1.1339	350
20131117	Dogecoin	Koinex	0.0002	0.0003	116
20130327	Viacoin	CoinNest	1.0716	1.4645	116
20131010	TheChampCoin	Mr.Exchange	0.5665	0.7592	3953
20130326	ION	Gatecoin	2.482	3.1113	3
20131001	Waves	Bithumb	2.98	3.5146	21510
20130619	OKCash	Satoshi	0.1011	0.1424	21
20130702	Nexus	bitFlyer	5.182	6.9418	375
20131011	Ark	ZB	3.3287	3.8714	17102
20130614	BitBay	CoinNest	0.0137	0.0204	191
20130221	Dogecoin	Wii	0.0018	0.0024	500
20130510	I-OCoin	Huobi	6.3937	8.1353	3284
20131126	DECENT	Bitbank	0.3638	0.4582	117
20130728	ZenCash	Bithumb	21.121	22.6105	400
20130528	Decred	Koinex	42.0173	58.1454	234
20130906	Elastic	Trade	0.0971	0.103	445
20130331	Expanse	CoinMate	1.5399	2.5068	155
20130818	ZenCash	HKSY	17.9165	26.9174	389
20130620	Syscoin	CoinNest	0.1243	0.1252	405
20130916	Ark	Bitbank	3.7777	4.2957	8901
20130421	Bitcoin	OKEx	4696.4103	6190.4755	6341689
